initial_distance,time_out,number_red_lights,final_distance,rep,end_vehicle_collision,result,end_pedestrian_collision,exp_id,end_other_collision,final_time,start_point,weather,number_green_lights,end_point
82.44995740175352,261.379,1,90.03347940660383,0,0,0,0,0,1,261.379,19,1,0,57
91.35899511614316,57.3184,1,48.674777815650266,0,0,0,0,0,1,57.3184,23,1,0,1
54.57222770489836,140.12560000000002,0,67.75880255899739,0,0,0,0,0,1,140.12560000000002,53,1,0,76
55.22654732886089,98.72200000000001,0,60.8365311604102,0,0,0,0,0,1,98.72200000000001,42,1,0,13
89.46937661816371,231.805,2,6.107190762814173,0,0,0,0,0,1,231.805,31,1,0,71
78.86738987016133,42.531400000000005,1,10.603489334202877,0,0,0,0,0,1,42.531400000000005,33,1,0,5
140.39951902339527,134.21079999999998,0,125.37450639890714,0,0,0,0,0,1,134.21079999999998,54,1,0,30
87.3809326382538,148.9978,1,108.26663393904585,0,0,0,0,0,1,148.9978,10,1,0,61
120.57284625033812,163.7848,0,184.9251884031094,0,0,0,0,0,1,163.7848,66,1,0,3
171.27173311587896,143.083,1,147.16221189792316,0,0,0,0,0,1,143.083,27,1,0,12
188.96175492743774,98.72200000000001,2,86.97798612182537,0,0,0,0,0,0,98.72200000000001,79,1,0,19
139.57549782236657,92.80720000000001,1,139.62248923401185,0,0,0,0,0,1,92.80720000000001,2,1,0,29
146.29400936669782,143.083,1,118.46983876459541,0,0,0,0,0,1,143.083,16,1,0,14
159.582572624905,131.2534,1,187.775461598745,0,0,0,0,0,0,131.2534,5,1,0,57
29.099990844726562,199.2736,0,215.78472012687084,0,0,0,0,0,1,199.2736,70,1,0,73
216.58716977283558,184.48659999999998,12,225.24914783287267,0,0,0,0,0,0,184.48659999999998,46,1,5,67
185.6375465647319,86.8924,0,179.34773963333356,0,0,0,0,0,1,86.8924,57,1,0,50
182.8779433458175,151.95520000000002,1,181.8865980130932,0,0,0,0,0,1,151.95520000000002,61,1,0,49
104.84421169526482,86.8924,1,118.45640230851573,0,0,0,0,0,1,86.8924,21,1,0,12
256.9135130660495,140.12560000000002,0,256.9135776948289,0,0,0,0,0,0,140.12560000000002,51,1,0,81
172.33000946044922,72.10539999999999,2,1.7597138041176013,0,0,1,0,0,0,32.6,77,1,0,68
110.26999855042455,51.403600000000004,0,64.36923452818355,0,0,0,0,0,0,51.403600000000004,56,1,0,65
197.4142280923546,113.50899999999999,1,194.55256102259762,0,0,0,0,0,1,113.50899999999999,43,1,0,54
137.254028561033,222.9328,1,165.81324403749926,0,0,0,0,0,1,222.9328,19,14,0,66
148.2770446042084,178.5718,1,138.65713931620226,0,0,0,0,0,1,178.5718,79,14,0,14
82.44995740175352,261.379,1,99.63647950081442,0,0,0,0,0,0,261.379,19,14,0,57
91.35899511614316,57.3184,1,40.98021002250642,0,0,0,0,0,1,57.3184,23,14,1,1
54.57222770489836,140.12560000000002,0,131.45825977353078,0,0,0,0,0,1,140.12560000000002,53,14,0,76
55.22654732886089,98.72200000000001,2,59.97989913191923,0,0,0,0,0,0,98.72200000000001,42,14,0,13
89.46937661816371,231.805,2,19.97988800872851,0,0,0,0,0,1,231.805,31,14,0,71
78.86738987016133,42.531400000000005,1,10.76459745220526,0,0,0,0,0,0,42.531400000000005,33,14,0,5
140.39951902339527,134.21079999999998,0,76.93212532322113,0,0,0,0,0,1,134.21079999999998,54,14,0,30
87.3809326382538,148.9978,1,111.23659724821904,0,0,0,0,0,1,148.9978,10,14,0,61
120.57284625033812,163.7848,0,184.24417429270932,0,0,0,0,0,1,163.7848,66,14,0,3
171.27173311587896,143.083,3,1.766208028279623,0,0,1,0,0,0,82.8,27,14,1,12
